tot_crime_prior2023,tot_crime2023,POPULATION_2023,crime_dense
1277,NA,21987,0
1027,NA,15077,0
1270,NA,13837,0
2368,NA,26240,0
5297,1117,14731,0.21087407966773644
1723,NA,19055,0
1743,NA,20773,0
1716,NA,17003,0
3142,842,21503,0.267982176957352
744,NA,16149,0
NA,NA,18285,0
1217,NA,23234,0
1092,258,22909,0.23626373626373626
693,NA,14788,0
941,NA,23988,0
NA,285,24374,0
1509,NA,28098,0
1029,NA,19412,0
1424,NA,28167,0
1033,276,22396,0.2671829622458858
2056,475,29500,0.23103112840466927
1922,424,28651,0.2206035379812695
NA,NA,10332,0
1523,NA,17713,0
1784,429,24231,0.24047085201793722
3443,828,29259,0.2404879465582341
1149,NA,18463,0
692,NA,13871,0
NA,NA,14609,0
1900,NA,28371,0
1220,NA,31260,0
1925,NA,28097,0
2108,554,26286,0.26280834914611007
NA,NA,14121,0
1997,NA,18173,0
1482,339,17922,0.22874493927125505
1843,NA,23417,0
5955,1259,18023,0.2114189756507137
3536,710,22938,0.20079185520361992
3849,NA,31003,0
2538,601,31477,0.2368006304176517
4660,898,28870,0.19270386266094422
1650,325,21860,0.19696969696969696
1491,NA,15136,0
1181,NA,20822,0
2301,717,18313,0.3116036505867014
2870,984,25495,0.34285714285714286
NA,NA,25937,0
NA,NA,10881,0
591,138,10581,0.233502538071066
1133,NA,15146,0
1506,NA,22404,0
937,NA,15620,0
806,NA,15581,0
NA,NA,16778,0
NA,NA,13172,0
NA,NA,12160,0
1043,NA,13743,0
NA,NA,18084,0
2235,655,23053,0.2930648769574944
NA,NA,13953,0
751,NA,11972,0
4261,NA,34502,0
982,NA,14609,0
1058,319,14784,0.30151228733459357
908,NA,12330,0
1453,NA,15252,0
1648,NA,15389,0
2789,NA,28782,0
2806,NA,29870,0
1602,NA,29770,0
NA,NA,26395,0
972,NA,14256,0
NA,NA,8294,0
2161,526,19809,0.24340583063396576
NA,169,7057,0
1622,NA,23453,0
NA,231,11969,0
NA,222,14699,0
1708,NA,7564,0
4991,999,21229,0.2001602885193348
2228,NA,20492,0
6334,1113,22207,0.1757183454373224
1488,NA,14166,0
1850,NA,11968,0
3575,768,30135,0.21482517482517482
695,167,8229,0.24028776978417266
993,187,12168,0.18831822759315206
938,NA,7764,0
1276,NA,10173,0
1626,NA,15400,0
1122,NA,13282,0
1478,NA,23097,0
2237,430,23011,0.19222172552525704
1249,NA,16157,0
NA,NA,8141,0
1023,NA,17883,0
NA,NA,9540,0
NA,NA,10772,0
1385,NA,24474,0
1341,294,26135,0.21923937360178972
1526,NA,15939,0
2428,NA,23054,0
1322,NA,17399,0
1241,NA,12709,0
1728,NA,17814,0
1532,534,29424,0.34856396866840733
NA,NA,16732,0
1088,NA,23485,0
1204,NA,18592,0
1320,503,31047,0.38106060606060604
NA,NA,10707,0
1193,NA,20205,0
NA,NA,25583,0
1242,NA,17872,0
1271,NA,19546,0
2252,NA,26265,0
NA,NA,27742,0
1030,NA,17255,0
1576,NA,19089,0
1304,NA,24465,0
2711,NA,17258,0
1434,NA,18738,0
NA,NA,10575,0
NA,NA,10404,0
4824,NA,29897,0
3082,NA,32251,0
692,NA,12200,0
1059,NA,18185,0
NA,NA,22508,0
1448,NA,19901,0
1182,NA,22782,0
1191,NA,25685,0
1139,286,17338,0.2510974539069359
546,NA,13641,0
906,NA,18076,0
792,NA,13503,0
988,NA,11601,0
1202,NA,12205,0
1614,494,26728,0.30607187112763323
NA,NA,10257,0
626,NA,12713,0
NA,NA,10741,0
878,NA,19558,0
605,NA,12552,0
NA,NA,17271,0
543,NA,11398,0
1334,NA,24097,0
1426,NA,22759,0
NA,NA,9884,0
972,NA,10722,0
862,NA,10530,0
2571,690,35386,0.26837806301050177
7315,1856,36388,0.2537252221462748
2108,NA,23047,0
1135,NA,12121,0
1641,NA,16568,0
2107,553,13425,0.26245847176079734
